Car_id,Dealer_Name,Dealer_No ,Dealer_Region
C_CND_005525,Saab-Belle Dodge,60504-7114,Scottsdale
C_CND_005526,Motor Vehicle Branch Office,78758-7841,Austin
C_CND_005527,Nebo Chevrolet,06457-3834,Middletown
C_CND_005528,New Castle Ford Lincoln Mercury,60504-7114,Aurora
C_CND_005529,Pars Auto Sales,38701-8047,Greenville
C_CND_005530,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,Pasco
C_CND_005531,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_005532,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_005533,Race Car Help,78758-7841,Austin
C_CND_005534,Ryder Truck Rental and Leasing,06457-3834,Middletown
C_CND_005535,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_005536,Race Car Help,78758-7841,Austin
C_CND_005537,Ryder Truck Rental and Leasing,06457-3834,Middletown
C_CND_005538,Saab-Belle Dodge,60504-7114,Aurora
C_CND_005539,Scrivener Performance Engineering,38701-8047,Greenville
C_CND_005540,Star Enterprises Inc,99301-3882,Pasco
C_CND_005541,Suburban Ford,53546-9427,Janesville
C_CND_005542,Tri-State Mack Inc,85257-3102,Scottsdale
C_CND_005543,U-Haul CO,78758-7841,Austin
C_CND_005544,Saab-Belle Dodge,60504-7114,Aurora
C_CND_005545,Scrivener Performance Engineering,38701-8047,Greenville
C_CND_005546,Star Enterprises Inc,99301-3882,Pasco
C_CND_005547,Suburban Ford,53546-9427,Janesville
C_CND_005548,Tri-State Mack Inc,85257-3102,Austin
C_CND_005549,U-Haul CO,78758-7841,Austin
C_CND_005550,Buddy Storbeck's Diesel Service Inc,06457-3834,Middletown
C_CND_005551,C & M Motors Inc,60504-7114,Aurora
C_CND_005552,Capitol KIA,38701-8047,Greenville
C_CND_005553,Diehl Motor CO Inc,06457-3834,Middletown
C_CND_005554,Enterprise Rent A Car,60504-7114,Aurora
C_CND_005555,Gartner Buick Hyundai Saab,38701-8047,Greenville
C_CND_005556,Hatfield Volkswagen,99301-3882,Pasco
C_CND_005557,Iceberg Rentals,53546-9427,Janesville
C_CND_005558,McKinney Dodge Chrysler Jeep,85257-3102,Scottsdale
C_CND_005559,Motor Vehicle Branch Office,78758-7841,Austin
C_CND_005560,Nebo Chevrolet,06457-3834,Middletown
C_CND_005561,New Castle Ford Lincoln Mercury,60504-7114,Aurora
C_CND_005562,Scrivener Performance Engineering,38701-8047,Janesville
C_CND_005563,Star Enterprises Inc,99301-3882,Scottsdale
C_CND_005564,Suburban Ford,53546-9427,Austin
C_CND_005565,Tri-State Mack Inc,85257-3102,Middletown
C_CND_005566,U-Haul CO,78758-7841,Aurora
C_CND_005567,Buddy Storbeck's Diesel Service Inc,06457-3834,Greenville
C_CND_005568,C & M Motors Inc,60504-7114,Pasco
C_CND_005569,Capitol KIA,38701-8047,Janesville
C_CND_005570,Chrysler of Tri-Cities,99301-3882,Scottsdale
C_CND_005571,Saab-Belle Dodge,60504-7114,Aurora
C_CND_005572,Scrivener Performance Engineering,38701-8047,Greenville
C_CND_005573,Star Enterprises Inc,99301-3882,Pasco
C_CND_005574,Suburban Ford,53546-9427,Janesville
C_CND_005575,Tri-State Mack Inc,85257-3102,Scottsdale
C_CND_005576,U-Haul CO,78758-7841,Austin
C_CND_005577,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_005578,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_005579,Pars Auto Sales,38701-8047,Janesville
C_CND_005580,Ryder Truck Rental and Leasing,06457-3834,Middletown
C_CND_005581,Tri-State Mack Inc,85257-3102,Janesville
C_CND_005582,Scrivener Performance Engineering,38701-8047,Greenville
C_CND_005583,Star Enterprises Inc,99301-3882,Pasco
C_CND_005584,Suburban Ford,53546-9427,Janesville
C_CND_005585,Buddy Storbeck's Diesel Service Inc,06457-3834,Middletown
C_CND_005586,C & M Motors Inc,60504-7114,Aurora
C_CND_005587,Capitol KIA,38701-8047,Greenville
C_CND_005588,Chrysler of Tri-Cities,99301-3882,Pasco
C_CND_005589,Chrysler Plymouth,53546-9427,Janesville
C_CND_005590,Classic Chevy,85257-3102,Scottsdale
C_CND_005591,Race Car Help,78758-7841,Austin
C_CND_005592,Race Car Help,78758-7841,Austin
C_CND_005593,Enterprise Rent A Car,60504-7114,Aurora
C_CND_005594,Gartner Buick Hyundai Saab,38701-8047,Greenville
C_CND_005595,Hatfield Volkswagen,99301-3882,Pasco
C_CND_005596,Iceberg Rentals,53546-9427,Janesville
C_CND_005597,McKinney Dodge Chrysler Jeep,85257-3102,Scottsdale
C_CND_005598,Motor Vehicle Branch Office,78758-7841,Austin
C_CND_005599,Chrysler of Tri-Cities,99301-3882,Pasco
C_CND_005600,Chrysler Plymouth,53546-9427,Janesville
C_CND_005601,Classic Chevy,85257-3102,Scottsdale
C_CND_005602,Clay Johnson Auto Sales,78758-7841,Austin
C_CND_005603,Diehl Motor CO Inc,06457-3834,Middletown
C_CND_005604,Enterprise Rent A Car,60504-7114,Aurora
C_CND_005605,Gartner Buick Hyundai Saab,38701-8047,Greenville
C_CND_005606,Hatfield Volkswagen,99301-3882,Pasco
C_CND_005607,Iceberg Rentals,53546-9427,Janesville
C_CND_005608,McKinney Dodge Chrysler Jeep,85257-3102,Scottsdale
C_CND_005609,Motor Vehicle Branch Office,78758-7841,Austin
C_CND_005610,Nebo Chevrolet,06457-3834,Middletown
C_CND_005611,New Castle Ford Lincoln Mercury,60504-7114,Aurora
C_CND_005612,Pars Auto Sales,38701-8047,Greenville
C_CND_005613,Pars Auto Sales,38701-8047,Greenville
C_CND_005614,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,Pasco
C_CND_005615,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_005616,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_005617,Race Car Help,78758-7841,Austin
C_CND_005618,Race Car Help,78758-7841,Austin
C_CND_005619,Saab-Belle Dodge,60504-7114,Aurora
C_CND_005620,Scrivener Performance Engineering,38701-8047,Greenville
C_CND_005621,Star Enterprises Inc,99301-3882,Pasco
C_CND_005622,Suburban Ford,53546-9427,Janesville
C_CND_005623,Star Enterprises Inc,99301-3882,Pasco
C_CND_005624,Suburban Ford,53546-9427,Janesville
C_CND_005625,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_005626,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_005627,Chrysler Plymouth,53546-9427,Austin
C_CND_005628,Classic Chevy,85257-3102,Middletown
C_CND_005629,Clay Johnson Auto Sales,78758-7841,Aurora
C_CND_005630,Diehl Motor CO Inc,06457-3834,Greenville
C_CND_005631,Enterprise Rent A Car,60504-7114,Pasco
C_CND_005632,Gartner Buick Hyundai Saab,38701-8047,Janesville
C_CND_005633,Hatfield Volkswagen,99301-3882,Scottsdale
C_CND_005634,Iceberg Rentals,53546-9427,Austin
C_CND_005635,McKinney Dodge Chrysler Jeep,85257-3102,Middletown
C_CND_005636,Star Enterprises Inc,99301-3882,Scottsdale
C_CND_005637,Nebo Chevrolet,06457-3834,Greenville
C_CND_005638,New Castle Ford Lincoln Mercury,60504-7114,Pasco
C_CND_005639,Pars Auto Sales,38701-8047,Janesville
C_CND_005640,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,Scottsdale
C_CND_005641,Classic Chevy,85257-3102,Janesville
C_CND_005642,Clay Johnson Auto Sales,78758-7841,Scottsdale
C_CND_005643,Buddy Storbeck's Diesel Service Inc,06457-3834,Middletown
C_CND_005644,C & M Motors Inc,60504-7114,Aurora
C_CND_005645,Capitol KIA,38701-8047,Greenville
C_CND_005646,Chrysler of Tri-Cities,99301-3882,Pasco
C_CND_005647,Chrysler Plymouth,53546-9427,Janesville
C_CND_005648,Clay Johnson Auto Sales,78758-7841,Austin
C_CND_005649,New Castle Ford Lincoln Mercury,60504-7114,Aurora
C_CND_005650,Pars Auto Sales,38701-8047,Greenville
C_CND_005651,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,Pasco
C_CND_005652,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_005653,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_005654,Pars Auto Sales,38701-8047,Greenville
C_CND_005655,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,Pasco
C_CND_005656,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_005657,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_005658,Race Car Help,78758-7841,Austin
C_CND_005659,Ryder Truck Rental and Leasing,06457-3834,Middletown
C_CND_005660,Saab-Belle Dodge,60504-7114,Aurora
C_CND_005661,Scrivener Performance Engineering,38701-8047,Greenville
C_CND_005662,Race Car Help,78758-7841,Austin
C_CND_005663,Buddy Storbeck's Diesel Service Inc,06457-3834,Middletown
C_CND_005664,Saab-Belle Dodge,60504-7114,Aurora
C_CND_005665,U-Haul CO,78758-7841,Austin
C_CND_005666,Star Enterprises Inc,99301-3882,Pasco
C_CND_005667,Buddy Storbeck's Diesel Service Inc,06457-3834,Middletown
C_CND_005668,Tri-State Mack Inc,85257-3102,Scottsdale
C_CND_005669,Progressive Shippers Cooperative Association No,53546-9427,Austin
C_CND_005670,Rabun Used Car Sales,85257-3102,Middletown
C_CND_005671,Race Car Help,78758-7841,Aurora
C_CND_005672,Ryder Truck Rental and Leasing,06457-3834,Greenville
C_CND_005673,Suburban Ford,53546-9427,Austin
C_CND_005674,Scrivener Performance Engineering,38701-8047,Janesville
C_CND_005675,Star Enterprises Inc,99301-3882,Austin
C_CND_005676,Classic Chevy,85257-3102,Scottsdale
C_CND_005677,Clay Johnson Auto Sales,78758-7841,Austin
C_CND_005678,Diehl Motor CO Inc,06457-3834,Middletown
C_CND_005679,Enterprise Rent A Car,60504-7114,Aurora
C_CND_005680,Gartner Buick Hyundai Saab,38701-8047,Greenville
C_CND_005681,Hatfield Volkswagen,99301-3882,Pasco
C_CND_005682,Iceberg Rentals,53546-9427,Janesville
C_CND_005683,McKinney Dodge Chrysler Jeep,85257-3102,Scottsdale
C_CND_005684,Motor Vehicle Branch Office,78758-7841,Austin
C_CND_005685,Nebo Chevrolet,06457-3834,Middletown
C_CND_005686,New Castle Ford Lincoln Mercury,60504-7114,Aurora
C_CND_005687,Pars Auto Sales,38701-8047,Greenville
C_CND_005688,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,Pasco
C_CND_005689,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_005690,Ryder Truck Rental and Leasing,06457-3834,Middletown
C_CND_005691,Saab-Belle Dodge,60504-7114,Aurora
C_CND_005692,Scrivener Performance Engineering,38701-8047,Greenville
C_CND_005693,Star Enterprises Inc,99301-3882,Pasco
C_CND_005694,Suburban Ford,53546-9427,Janesville
C_CND_005695,Tri-State Mack Inc,85257-3102,Scottsdale
C_CND_005696,U-Haul CO,78758-7841,Austin
C_CND_005697,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_005698,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_005699,Race Car Help,78758-7841,Austin
C_CND_005700,Iceberg Rentals,53546-9427,Janesville
C_CND_005701,Saab-Belle Dodge,60504-7114,Aurora
C_CND_005702,Scrivener Performance Engineering,38701-8047,Greenville
C_CND_005703,Star Enterprises Inc,99301-3882,Pasco
C_CND_005704,Star Enterprises Inc,99301-3882,Pasco
C_CND_005705,Suburban Ford,53546-9427,Janesville
C_CND_005706,Tri-State Mack Inc,85257-3102,Scottsdale
C_CND_005707,U-Haul CO,78758-7841,Austin
C_CND_005708,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_005709,Rabun Used Car Sales,85257-3102,Austin
C_CND_005710,Race Car Help,78758-7841,Austin
C_CND_005711,Ryder Truck Rental and Leasing,06457-3834,Middletown
C_CND_005712,Saab-Belle Dodge,60504-7114,Aurora
C_CND_005713,Scrivener Performance Engineering,38701-8047,Greenville
C_CND_005714,Star Enterprises Inc,99301-3882,Pasco
C_CND_005715,Suburban Ford,53546-9427,Janesville
C_CND_005716,Tri-State Mack Inc,85257-3102,Scottsdale
C_CND_005717,U-Haul CO,78758-7841,Austin
C_CND_005718,U-Haul CO,78758-7841,Austin
C_CND_005719,Buddy Storbeck's Diesel Service Inc,06457-3834,Middletown
C_CND_005720,C & M Motors Inc,60504-7114,Aurora
C_CND_005721,Capitol KIA,38701-8047,Greenville
C_CND_005722,Chrysler of Tri-Cities,99301-3882,Pasco
C_CND_005723,Clay Johnson Auto Sales,78758-7841,Austin
C_CND_005724,Classic Chevy,85257-3102,Scottsdale
C_CND_005725,Clay Johnson Auto Sales,78758-7841,Austin
C_CND_005726,Pars Auto Sales,38701-8047,Greenville
C_CND_005727,Enterprise Rent A Car,60504-7114,Aurora
C_CND_005728,Gartner Buick Hyundai Saab,38701-8047,Greenville
C_CND_005729,Hatfield Volkswagen,99301-3882,Pasco
C_CND_005730,Iceberg Rentals,53546-9427,Janesville
C_CND_005731,McKinney Dodge Chrysler Jeep,85257-3102,Scottsdale
C_CND_005732,Suburban Ford,53546-9427,Middletown
C_CND_005733,Tri-State Mack Inc,85257-3102,Aurora
C_CND_005734,U-Haul CO,78758-7841,Greenville
C_CND_005735,Progressive Shippers Cooperative Association No,53546-9427,Pasco
C_CND_005736,Rabun Used Car Sales,85257-3102,Janesville
C_CND_005737,Race Car Help,78758-7841,Scottsdale
C_CND_005738,Ryder Truck Rental and Leasing,06457-3834,Austin
C_CND_005739,Saab-Belle Dodge,60504-7114,Janesville
C_CND_005740,Scrivener Performance Engineering,38701-8047,Scottsdale
C_CND_005741,Star Enterprises Inc,99301-3882,Austin
C_CND_005742,Suburban Ford,53546-9427,Middletown
C_CND_005743,Tri-State Mack Inc,85257-3102,Middletown
C_CND_005744,U-Haul CO,78758-7841,Aurora
C_CND_005745,Progressive Shippers Cooperative Association No,53546-9427,Greenville
C_CND_005746,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_005747,Suburban Ford,53546-9427,Janesville
C_CND_005748,Buddy Storbeck's Diesel Service Inc,06457-3834,Middletown
C_CND_005749,Motor Vehicle Branch Office,78758-7841,Austin
C_CND_005750,C & M Motors Inc,60504-7114,Janesville
C_CND_005751,Race Car Help,78758-7841,Austin
C_CND_005752,Ryder Truck Rental and Leasing,06457-3834,Middletown
C_CND_005753,Saab-Belle Dodge,60504-7114,Aurora
C_CND_005754,Scrivener Performance Engineering,38701-8047,Greenville
C_CND_005755,Star Enterprises Inc,99301-3882,Pasco
C_CND_005756,Suburban Ford,53546-9427,Janesville
C_CND_005757,Tri-State Mack Inc,85257-3102,Scottsdale
C_CND_005758,U-Haul CO,78758-7841,Austin
C_CND_005759,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_005760,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_005761,Race Car Help,78758-7841,Austin
C_CND_005762,Ryder Truck Rental and Leasing,06457-3834,Middletown
C_CND_005763,Saab-Belle Dodge,60504-7114,Aurora
C_CND_005764,Scrivener Performance Engineering,38701-8047,Greenville
C_CND_005765,Star Enterprises Inc,99301-3882,Pasco
C_CND_005766,Suburban Ford,53546-9427,Janesville
C_CND_005767,Tri-State Mack Inc,85257-3102,Scottsdale
C_CND_005768,U-Haul CO,78758-7841,Austin
C_CND_005769,Buddy Storbeck's Diesel Service Inc,06457-3834,Middletown
C_CND_005770,C & M Motors Inc,60504-7114,Aurora
C_CND_005771,Capitol KIA,38701-8047,Greenville
C_CND_005772,Chrysler of Tri-Cities,99301-3882,Pasco
C_CND_005773,Chrysler Plymouth,53546-9427,Janesville
C_CND_005774,Tri-State Mack Inc,85257-3102,Scottsdale
C_CND_005775,U-Haul CO,78758-7841,Austin
C_CND_005776,Buddy Storbeck's Diesel Service Inc,06457-3834,Middletown
C_CND_005777,C & M Motors Inc,60504-7114,Aurora
C_CND_005778,Capitol KIA,38701-8047,Greenville
C_CND_005779,Chrysler of Tri-Cities,99301-3882,Pasco
C_CND_005780,Chrysler Plymouth,53546-9427,Janesville
C_CND_005781,Classic Chevy,85257-3102,Scottsdale
C_CND_005782,Clay Johnson Auto Sales,78758-7841,Austin
C_CND_005783,U-Haul CO,78758-7841,Austin
C_CND_005784,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_005785,Gartner Buick Hyundai Saab,38701-8047,Greenville
C_CND_005786,Hatfield Volkswagen,99301-3882,Pasco
C_CND_005787,Iceberg Rentals,53546-9427,Janesville
C_CND_005788,McKinney Dodge Chrysler Jeep,85257-3102,Scottsdale
C_CND_005789,Motor Vehicle Branch Office,78758-7841,Austin
C_CND_005790,Saab-Belle Dodge,60504-7114,Aurora
C_CND_005791,New Castle Ford Lincoln Mercury,60504-7114,Aurora
C_CND_005792,Pars Auto Sales,38701-8047,Greenville
C_CND_005793,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,Pasco
C_CND_005794,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_005795,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_005796,Race Car Help,78758-7841,Austin
C_CND_005797,C & M Motors Inc,60504-7114,Aurora
C_CND_005798,Capitol KIA,38701-8047,Greenville
C_CND_005799,Chrysler of Tri-Cities,99301-3882,Pasco
C_CND_005800,Chrysler Plymouth,53546-9427,Janesville
C_CND_005801,Classic Chevy,85257-3102,Scottsdale
C_CND_005802,Clay Johnson Auto Sales,78758-7841,Austin
C_CND_005803,Diehl Motor CO Inc,06457-3834,Middletown
C_CND_005804,Enterprise Rent A Car,60504-7114,Aurora
C_CND_005805,Gartner Buick Hyundai Saab,38701-8047,Greenville
C_CND_005806,Hatfield Volkswagen,99301-3882,Pasco
C_CND_005807,Iceberg Rentals,53546-9427,Janesville
C_CND_005808,McKinney Dodge Chrysler Jeep,85257-3102,Scottsdale
C_CND_005809,Motor Vehicle Branch Office,78758-7841,Austin
C_CND_005810,Nebo Chevrolet,06457-3834,Middletown
C_CND_005811,New Castle Ford Lincoln Mercury,60504-7114,Aurora
C_CND_005812,Pars Auto Sales,38701-8047,Greenville
C_CND_005813,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,Pasco
C_CND_005814,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_005815,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_005816,Race Car Help,78758-7841,Austin
C_CND_005817,Ryder Truck Rental and Leasing,06457-3834,Middletown
C_CND_005818,Saab-Belle Dodge,60504-7114,Aurora
C_CND_005819,Scrivener Performance Engineering,38701-8047,Greenville
C_CND_005820,Nebo Chevrolet,06457-3834,Middletown
C_CND_005821,New Castle Ford Lincoln Mercury,60504-7114,Aurora
C_CND_005822,Pars Auto Sales,38701-8047,Greenville
C_CND_005823,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,Pasco
C_CND_005824,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_005825,Tri-State Mack Inc,85257-3102,Scottsdale
C_CND_005826,Ryder Truck Rental and Leasing,06457-3834,Middletown
C_CND_005827,Ryder Truck Rental and Leasing,06457-3834,Middletown
C_CND_005828,Saab-Belle Dodge,60504-7114,Aurora
C_CND_005829,C & M Motors Inc,60504-7114,Aurora
C_CND_005830,Star Enterprises Inc,99301-3882,Pasco
C_CND_005831,Suburban Ford,53546-9427,Janesville
C_CND_005832,Tri-State Mack Inc,85257-3102,Scottsdale
C_CND_005833,U-Haul CO,78758-7841,Austin
C_CND_005834,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_005835,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_005836,Race Car Help,78758-7841,Austin
C_CND_005837,Ryder Truck Rental and Leasing,06457-3834,Middletown
C_CND_005838,Diehl Motor CO Inc,06457-3834,Middletown
C_CND_005839,Scrivener Performance Engineering,38701-8047,Greenville
C_CND_005840,Race Car Help,78758-7841,Austin
C_CND_005841,Suburban Ford,53546-9427,Janesville
C_CND_005842,Scrivener Performance Engineering,38701-8047,Greenville
C_CND_005843,Capitol KIA,38701-8047,Scottsdale
C_CND_005844,Chrysler of Tri-Cities,99301-3882,Austin
C_CND_005845,Tri-State Mack Inc,85257-3102,Greenville
C_CND_005846,Classic Chevy,85257-3102,Aurora
C_CND_005847,Clay Johnson Auto Sales,78758-7841,Greenville
C_CND_005848,Diehl Motor CO Inc,06457-3834,Pasco
C_CND_005849,Enterprise Rent A Car,60504-7114,Janesville
C_CND_005850,Chrysler Plymouth,53546-9427,Scottsdale
C_CND_005851,Hatfield Volkswagen,99301-3882,Austin
C_CND_005852,Iceberg Rentals,53546-9427,Middletown
C_CND_005853,McKinney Dodge Chrysler Jeep,85257-3102,Aurora
C_CND_005854,Motor Vehicle Branch Office,78758-7841,Greenville
C_CND_005855,Classic Chevy,85257-3102,Austin
C_CND_005856,New Castle Ford Lincoln Mercury,60504-7114,Janesville
C_CND_005857,Pars Auto Sales,38701-8047,Scottsdale
C_CND_005858,Diehl Motor CO Inc,06457-3834,Aurora
C_CND_005859,Progressive Shippers Cooperative Association No,53546-9427,Middletown
C_CND_005860,Rabun Used Car Sales,85257-3102,Aurora
C_CND_005861,Race Car Help,78758-7841,Greenville
C_CND_005862,Ryder Truck Rental and Leasing,06457-3834,Pasco
C_CND_005863,Saab-Belle Dodge,60504-7114,Janesville
C_CND_005864,Scrivener Performance Engineering,38701-8047,Scottsdale
C_CND_005865,Saab-Belle Dodge,60504-7114,Greenville
C_CND_005866,Classic Chevy,85257-3102,Scottsdale
C_CND_005867,Clay Johnson Auto Sales,78758-7841,Austin
C_CND_005868,Diehl Motor CO Inc,06457-3834,Middletown
C_CND_005869,Enterprise Rent A Car,60504-7114,Aurora
C_CND_005870,Gartner Buick Hyundai Saab,38701-8047,Greenville
C_CND_005871,Hatfield Volkswagen,99301-3882,Pasco
C_CND_005872,Iceberg Rentals,53546-9427,Janesville
C_CND_005873,McKinney Dodge Chrysler Jeep,85257-3102,Scottsdale
C_CND_005874,Motor Vehicle Branch Office,78758-7841,Austin
C_CND_005875,Nebo Chevrolet,06457-3834,Middletown
C_CND_005876,New Castle Ford Lincoln Mercury,60504-7114,Aurora
C_CND_005877,Pars Auto Sales,38701-8047,Greenville
C_CND_005878,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,Pasco
C_CND_005879,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_005880,Ryder Truck Rental and Leasing,06457-3834,Middletown
C_CND_005881,Saab-Belle Dodge,60504-7114,Aurora
C_CND_005882,Scrivener Performance Engineering,38701-8047,Greenville
C_CND_005883,Race Car Help,78758-7841,Austin
C_CND_005884,Suburban Ford,53546-9427,Janesville
C_CND_005885,Tri-State Mack Inc,85257-3102,Scottsdale
C_CND_005886,U-Haul CO,78758-7841,Austin
C_CND_005887,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_005888,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_005889,Race Car Help,78758-7841,Austin
C_CND_005890,Ryder Truck Rental and Leasing,06457-3834,Middletown
C_CND_005891,Saab-Belle Dodge,60504-7114,Aurora
C_CND_005892,Scrivener Performance Engineering,38701-8047,Greenville
C_CND_005893,C & M Motors Inc,60504-7114,Aurora
C_CND_005894,Star Enterprises Inc,99301-3882,Pasco
C_CND_005895,Suburban Ford,53546-9427,Janesville
C_CND_005896,Tri-State Mack Inc,85257-3102,Scottsdale
C_CND_005897,U-Haul CO,78758-7841,Austin
C_CND_005898,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_005899,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_005900,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_005901,Rabun Used Car Sales,85257-3102,Scottsdale
C_CND_005902,Race Car Help,78758-7841,Austin
C_CND_005903,Ryder Truck Rental and Leasing,06457-3834,Middletown
C_CND_005904,Saab-Belle Dodge,60504-7114,Aurora
C_CND_005905,Scrivener Performance Engineering,38701-8047,Greenville
C_CND_005906,Star Enterprises Inc,99301-3882,Pasco
C_CND_005907,Suburban Ford,53546-9427,Janesville
C_CND_005908,U-Haul CO,78758-7841,Austin
C_CND_005909,Buddy Storbeck's Diesel Service Inc,06457-3834,Middletown
C_CND_005910,C & M Motors Inc,60504-7114,Aurora
C_CND_005911,Capitol KIA,38701-8047,Greenville
C_CND_005912,Star Enterprises Inc,99301-3882,Pasco
C_CND_005913,Chrysler Plymouth,53546-9427,Janesville
C_CND_005914,Classic Chevy,85257-3102,Scottsdale
C_CND_005915,Clay Johnson Auto Sales,78758-7841,Austin
C_CND_005916,U-Haul CO,78758-7841,Austin
C_CND_005917,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_005918,Saab-Belle Dodge,60504-7114,Aurora
C_CND_005919,Hatfield Volkswagen,99301-3882,Pasco
C_CND_005920,Classic Chevy,85257-3102,Scottsdale
C_CND_005921,McKinney Dodge Chrysler Jeep,85257-3102,Scottsdale
C_CND_005922,Suburban Ford,53546-9427,Middletown
C_CND_005923,Star Enterprises Inc,99301-3882,Janesville
C_CND_005924,Suburban Ford,53546-9427,Scottsdale
C_CND_005925,Progressive Shippers Cooperative Association No,53546-9427,Pasco
C_CND_005926,Rabun Used Car Sales,85257-3102,Janesville
C_CND_005927,Race Car Help,78758-7841,Scottsdale
C_CND_005928,Ryder Truck Rental and Leasing,06457-3834,Austin
C_CND_005929,Saab-Belle Dodge,60504-7114,Janesville
C_CND_005930,Ryder Truck Rental and Leasing,06457-3834,Janesville
C_CND_005931,Star Enterprises Inc,99301-3882,Austin
C_CND_005932,Suburban Ford,53546-9427,Middletown
C_CND_005933,Tri-State Mack Inc,85257-3102,Aurora
C_CND_005934,U-Haul CO,78758-7841,Pasco
C_CND_005935,Buddy Storbeck's Diesel Service Inc,06457-3834,Pasco
C_CND_005936,Rabun Used Car Sales,85257-3102,Austin
C_CND_005937,Race Car Help,78758-7841,Austin
C_CND_005938,Ryder Truck Rental and Leasing,06457-3834,Middletown
C_CND_005939,Saab-Belle Dodge,60504-7114,Aurora
C_CND_005940,Scrivener Performance Engineering,38701-8047,Greenville
C_CND_005941,Star Enterprises Inc,99301-3882,Pasco
C_CND_005942,Suburban Ford,53546-9427,Janesville
C_CND_005943,Tri-State Mack Inc,85257-3102,Scottsdale
C_CND_005944,U-Haul CO,78758-7841,Austin
C_CND_005945,Buddy Storbeck's Diesel Service Inc,06457-3834,Middletown
C_CND_005946,Progressive Shippers Cooperative Association No,53546-9427,Janesville
C_CND_005947,Capitol KIA,38701-8047,Greenville
C_CND_005948,Tri-State Mack Inc,85257-3102,Scottsdale
C_CND_005949,U-Haul CO,78758-7841,Austin
C_CND_005950,Buddy Storbeck's Diesel Service Inc,06457-3834,Middletown
C_CND_005951,C & M Motors Inc,60504-7114,Aurora
C_CND_005952,Capitol KIA,38701-8047,Greenville
C_CND_005953,Chrysler of Tri-Cities,99301-3882,Pasco
C_CND_005954,Motor Vehicle Branch Office,78758-7841,Austin
C_CND_005955,Nebo Chevrolet,06457-3834,Middletown
C_CND_005956,New Castle Ford Lincoln Mercury,60504-7114,Aurora
C_CND_005957,Pars Auto Sales,38701-8047,Greenville
C_CND_005958,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,Pasco
C_CND_005959,Pitre Buick-Pontiac-Gmc of Scottsdale,99301-3882,Pasco
C_CND_005960,C & M Motors Inc,60504-7114,Scottsdale
C_CND_005961,Capitol KIA,38701-8047,Scottsdale
C_CND_005962,Chrysler of Tri-Cities,99301-3882,Austin
C_CND_005963,Chrysler Plymouth,53546-9427,Middletown
C_CND_005964,Classic Chevy,85257-3102,Aurora
C_CND_005965,Clay Johnson Auto Sales,78758-7841,Greenville
C_CND_005966,Suburban Ford,53546-9427,Janesville
